"Ticker","Nome","Negócios","Última (R$)","Variação"
"CPFE3","CPFL Energia","2.551.200","38,37","+2,08%"
"AMOB3","Automob","2.548.200","0,27","+0,00%"
"HYPE3","Hypera","2.513.600","23,42","+1,21%"
"AMER3","Americanas","2.488.500","5,72","+4,76%"
"BHIA3","Casas Bahia","2.454.200","4,90","+0,62%"
"FLRY3","Fleury","2.416.000","12,89","+1,90%"
"TFCO4","Track & Field","2.353.900","12,68","+9,88%"
"INTB3","Intelbras","2.335.200","14,15","+1,73%"
"ECOR3","EcoRodovias","2.331.300","6,61","+1,38%"
"HBOR3","Helbor","2.294.500","2,65","+2,71%"
"CAML3","Camil Alimentos","2.286.800","4,91","+6,97%"
"CSMG3","COPASA","2.282.000","21,15","+1,44%"
"GGPS3","GPS","2.279.200","15,71","+4,52%"
"QUAL3","Qualicorp","2.205.500","2,17","+6,37%"
"ENJU3","Enjoei","2.166.700","1,24","+7,83%"
"TAEE11","Taesa","2.104.000","34,90","-1,19%"
"PSSA3","Porto Seguro","2.095.000","46,23","+1,99%"
"GMAT3","Grupo Mateus","2.010.900","7,69","+2,53%"
"VVEO3","Viveo","1.951.600","1,17","+2,63%"
"FESA4","Ferbasa","1.892.000","7,05","-6,50%"
"MLAS3","Multilaser","1.874.300","1,30","+1,56%"
"SBFG3","Grupo SBF","1.848.700","11,73","+0,17%"
"SANB11","Banco Santander","1.801.200","30,31","+1,81%"
"CURY3","Cury","1.791.800","30,02","+1,52%"
"GUAR3","Guararapes","1.780.800","8,32","+7,49%"
"SMTO3","São Martinho","1.773.100","20,10","+5,35%"
"ZAMP3","Zamp","1.699.000","3,09","-1,90%"
"AZEV3","Azevedo & Travassos","1.670.700","0,71","-2,74%"
"AZTE3","AZT Energia","1.634.400","0,81","+2,53%"
"EGIE3","Engie","1.602.100","39,99","+2,17%"
"EVEN3","Even","1.587.800","6,12","+3,20%"
"KLBN4","Klabin","1.539.700","3,86","+1,31%"
"TTEN3","3tentos","1.489.100","14,40","-1,30%"
"ISAE4","ISA Energia","1.443.200","23,15","+1,27%"
"SEER3","Ser Educacional","1.363.900","7,07","+2,46%"
"DXCO3","Dexco","1.309.300","5,41","+3,64%"
"MYPK3","Iochpe-Maxion","1.276.500","12,07","+0,42%"
"PORT3","Wilson Sons","1.260.300","17,32","-0,57%"
"ONCO3","Oncoclínicas","1.254.500","4,72","+1,29%"
"KEPL3","Kepler Weber","1.247.100","7,91","+2,20%"
"ELET6","Eletrobras","1.193.900","47,81","+0,61%"
"ARML3","Armac","1.161.900","4,53","+1,12%"
"PDGR3","PDG Realty","1.153.600","0,61","+0,00%"
"ALUP11","Alupar","1.119.400","29,72","+2,91%"
"PGMN3","Pague Menos","1.102.600","3,39","+3,35%"
"AERI3","Aeris Energy","1.097.400","4,98","+15,81%"
"PLPL3","Plano&Plano","1.080.700","13,40","+3,00%"
"ESPA3","Espaçolaser","1.064.100","0,92","+5,75%"
"BPAN4","Banco Pan","1.022.700","7,83","+2,35%"
"SAPR11","Sanepar","1.003.200","30,37","+2,81%"
"ORVR3","Orizon","977.400","50,69","+4,69%"
"AZEV4","Azevedo & Travassos","938.500","0,93","+1,09%"
"VULC3","Vulcabras","929.800","21,12","+2,08%"
"RCSL3","Recrusul","877.400","3,42","+9,27%"
"EZTC3","EZTEC","857.500","13,60","+1,49%"
"SOJA3","Boa Safra Sementes","848.200","10,41","+2,56%"
"MTRE3","Mitre Realty","835.800","4,10","+1,49%"
"LOGG3","LOG CP","808.300","20,60","+0,44%"
"PNVL3","Dimed","785.200","9,32","+1,97%"
"RANI3","Irani","766.500","8,03","+2,29%"
"MDNE3","Moura Dubeux","762.000","16,85","+6,04%"
"JALL3","Jalles Machado","692.200","4,33","+3,59%"
"BMGB4","Banco BMG","664.700","3,87","+2,11%"
"OPCT3","OceanPact","592.000","5,85","+3,36%"
"POSI3","Positivo","582.200","5,82","+3,19%"
"MATD3","Mater Dei","572.100","4,56","+2,93%"
"ITUB3","Itaú Unibanco","565.000","32,73","+1,17%"
"TUPY3","Tupy","557.100","19,34","+0,00%"
"ABCB4","Banco ABC Brasil","553.300","21,41","+2,20%"
"AMAR3","Lojas Marisa","550.500","1,34","+0,00%"
"NEOE3","Neoenergia","533.800","22,71","+3,32%"
"TRIS3","Trisul","525.900","7,12","+2,45%"
"LIGT3","Light","496.000","5,00","+1,83%"
"LAVV3","Lavvi Incorporadora","492.600","10,81","+3,15%"
"HBRE3","HBR Realty","455.400","3,71","+5,10%"
"SHUL4","Schulz","440.900","5,58","+2,20%"
"MELK3","Melnick","440.900","3,38","+2,74%"
"MBLY3","Mobly","434.700","0,98","+0,00%"
"FIQE3","Unifique","418.000","4,07","+2,52%"
"PMAM3","Paranapanema","417.100","2,07","-3,27%"
"SAPR3","Sanepar","411.600","5,95","+0,17%"
"BLAU3","Blau Farmacêutica","403.200","13,21","+3,45%"
"CSED3","Cruzeiro do Sul Educacional","388.000","4,12","+1,73%"
"LEVE3","Mahle Metal Leve","376.400","29,57","+0,89%"
"FRAS3","Fras-le","372.500","27,50","+1,10%"
"VITT3","Vittia","371.600","5,14","+1,78%"
"MDIA3","M. Dias Branco","365.900","24,48","+3,38%"
"WIZC3","Wiz Soluções","360.000","6,33","+2,59%"
"MEAL3","IMC Alimentação","341.900","1,37","-0,72%"
"JSLG3","JSL","320.300","6,69","+1,36%"
"BMOB3","Bemobi","313.600","19,97","+2,46%"
"DESK3","Desktop","300.800","9,13","+1,00%"
"POMO3","Marcopolo","296.700","5,44","+2,64%"
